simulation,time,ratio
5,531.4324579879933,0.69
5,531.4324579879933,0.69
5,568.5018635930954,0.69
5,568.5018635930954,0.69
5,568.5018635930954,0.69
5,568.5018635930954,0.69
5,1404.240562579089,0.2
5,1404.240562579089,0.2
5,1404.240562579089,0.2
5,1404.240562579089,0.2
5,1404.240562579089,0.2
5,1404.240562579089,0.2
5,2229.0397213106667,0.2
5,3678.664239030686,0.03
5,3678.664239030686,0.03
5,3678.664239030686,0.03
5,3678.664239030686,0.03
6,7.421404021838769,0.52
6,8.103181351237334,0.52
6,9.017221961062983,0.52
6,9.017221961062983,0.52
6,9.017221961062983,0.52
6,9.017221961062983,0.52
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,12.795962255334686,0.44
6,70.67229610066269,0.18
6,70.67229610066269,0.18
6,70.67229610066269,0.18
6,70.67229610066269,0.18
6,70.67229610066269,0.18
6,70.67229610066269,0.18
6,96.91648106450997,0.0
6,4.692149653858224,0.52
6,4.692149653858224,0.52
6,4.692149653858224,0.52
6,4.692149653858224,0.52
6,5.428551722789019,0.52
6,5.428551722789019,0.52
6,5.428551722789019,0.52
6,5.428551722789019,0.52
6,8.034085704518557,0.52
6,8.034085704518557,0.52
6,8.034085704518557,0.52
6,8.034085704518557,0.52
6,8.034085704518557,0.52
6,10.467091318838312,0.28
6,10.467091318838312,0.28
6,10.467091318838312,0.28
6,10.467091318838312,0.28
6,68.71210666101963,0.18
6,68.71210666101963,0.18
6,68.71210666101963,0.18
6,68.71210666101963,0.18
6,68.71210666101963,0.18
6,68.71210666101963,0.18
6,68.71210666101963,0.18
6,68.71210666101963,0.18
6,82.72882329696499,0.01
6,82.72882329696499,0.01
